"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C3, C4, C6, C7, C8, C9";"C_Disc_D5.0mm_W2.5mm_P5.00mm";7;"100nF";;;
2;"C2, C5";"CP_Radial_D5.0mm_P2.50mm";2;"10uF 16V";;;
3;"C10";"CP_Radial_D5.0mm_P2.50mm";1;"470uF 25V";;;
4;"D1";"D_DO-41_SOD81_P7.62mm_Horizontal";1;"10V 1W";;;
5;"F1";"Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open";1;"6A";;;
6;"J1";"JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical";1;"Conn_01x06";;;
7;"J2, J3, J4";"Altech_AK100_1x02_P5.00mm";3;"Screw_Terminal_01x02";;;
8;"Q1, Q2, Q3, Q4";"TO-92_Inline_Wide";4;"2N7000";;;
9;"Q5";"TO-220-3_Vertical";1;"IRF4905";;;
10;"Q6";"TO-220-3_Vertical";1;"NDP6020P";;;
11;"R1, R2, R3, R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"2.2k";;;
12;"R8, R9, R10, R11, R14, R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"100k";;;
13;"R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10k";;;
14;"R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"15k";;;
15;"U1";"XCVR_ESP32-S3-DEVKITC-1-N16R8V";1;"ESP32-S3-DEVKITC-1-N16R8V";;;
16;"U2";"DIP-6_W7.62mm";1;"INMP441";;;
17;"U3";"PinSocket_1x04_P2.54mm_Vertical";1;"GY-906";;;
18;"U4";"DIP-24_W15.24mm";1;"STEVAL-MKIGIBV2";;;
19;"U5";"DIP-14_W7.62mm";1;"74HC04";;;
20;"U6";"PinSocket_1x03_P2.54mm_Vertical";1;"ACS712-30A";;;
